name,google scholar link
Abhi Shelat,https://scholar.google.com/citations?user=Te94nKAAAAAJ&hl=en&oi=ao
Abhijeet Ghosh,https://scholar.google.com/citations?user=EG_UZvwAAAAJ&hl=en&oi=ao
Abhijit Das 0004,https://scholar.google.com/citations?user=vpWPul0AAAAJ&hl=en&oi=ao
Abhijit Mahalanobis,https://scholar.google.com/citations?user=L9Y5FbwAAAAJ&hl=en&oi=ao
Abhik Roychoudhury,https://scholar.google.com/citations?user=UxFWSJIAAAAJ&hl=en&oi=ao
Abhilash Jindal,https://scholar.google.com/citations?user=_af8suQAAAAJ&hl=en&oi=ao
Abhinav Bhatele,https://scholar.google.com/citations?user=3x65qtwAAAAJ&hl=en&oi=ao
Abhinav Dhall,https://scholar.google.com/citations?user=ypusncAAAAAJ&hl=en&oi=ao
Abhinav Kumar Singh,https://scholar.google.com/citations?user=tkp3t2gAAAAJ&hl=en&oi=ao
Abhinav Shrivastava,https://scholar.google.com/citations?user=mIF9BowAAAAJ&hl=en&oi=ao
Abhinav Verma 0001,https://scholar.google.com/citations?user=jM1HeCIAAAAJ&hl=en&oi=ao
Abhir Bhalerao,https://scholar.google.com/citations?user=XfBoSP4AAAAJ&hl=en&oi=ao
Abhir H. Bhalerao,https://scholar.google.com/citations?user=XfBoSP4AAAAJ&hl=en&oi=ao
Abhiram G. Ranade,https://scholar.google.com/citations?user=lb5ffQ8AAAAJ&hl=en&oi=ao
Abhiram Ranade,https://scholar.google.com/citations?user=lb5ffQ8AAAAJ&hl=en&oi=ao
Abhishek Bhattacharjee,https://scholar.google.com/citations?user=AopgnHAAAAAJ&hl=en&oi=ao
Abhishek Bichhawat,https://scholar.google.com/citations?user=qJavKW4AAAAJ&hl=en&oi=ao
Abhishek Chandra,https://scholar.google.com/citations?user=hSklLfsAAAAJ&hl=en&oi=ao
Abhishek Dubey,https://scholar.google.com/citations?user=5J3w9OoAAAAJ&hl=en&oi=ao
Abhishek Gupta 0008,https://scholar.google.com/citations?user=1wLVDP4AAAAJ&hl=en&oi=ao
Abhishek Jain 0002,https://scholar.google.com/citations?user=xjkmJsgAAAAJ&hl=en&oi=ao
Abhishek Kr Singh,https://scholar.google.com/citations?user=ps296UkAAAAJ&hl=en&oi=ao
Abhishek Mishra,https://scholar.google.com/citations?user=Ayz2rOwAAAAJ&hl=en&oi=ao
Abhishek Sarkar,https://scholar.google.com/citations?user=SV0gEjQAAAAJ&hl=en&oi=ao
Abhishek Sinha,https://scholar.google.com/citations?user=Oc7BRX0AAAAJ&hl=en&oi=ao
Abhishek Srivastava,https://scholar.google.com/citations?user=8DUQgIIAAAAJ&hl=en&oi=ao
Abhradeep Guha Thakurta,https://scholar.google.com/citations?user=1rV69hMAAAAJ&hl=en&oi=ao
Abhradeep Thakurta,https://scholar.google.com/citations?user=1rV69hMAAAAJ&hl=en&oi=ao
Abilio Lucena,https://scholar.google.com/citations?user=_YS2DcIAAAAJ&hl=en&oi=ao
Abir Das,https://scholar.google.com/citations?user=L4yEk2UAAAAJ&hl=en&oi=ao
Abir De,https://scholar.google.com/citations?user=9ZKKbIAAAAJ&hl=en&oi=ao
Abolfazl Asudeh,https://scholar.google.com/citations?user=cJXIgasAAAAJ&hl=en&oi=ao
Abolfazl Razi,https://scholar.google.com/citations?user=DhwC8gsAAAAJ&hl=en&oi=ao
Abolfazl S. Motahari,https://scholar.google.com/citations?user=rJ-biB0AAAAJ&hl=en&oi=ao
Abolfazl Seyed Motahari,https://scholar.google.com/citations?user=rJ-biB0AAAAJ&hl=en&oi=ao
Abraham Bernstein,https://scholar.google.com/citations?user=ZYNjTykAAAAJ&hl=en&oi=ao
Abraham Duarte,https://scholar.google.com/citations?user=wsBEPbYAAAAJ&hl=en&oi=ao
Abraham G. Campbell,https://scholar.google.com/citations?user=TWRYXGMAAAAJ&hl=en&oi=ao
Abraham Silberschatz,https://scholar.google.com/citations?user=-YvgZDEAAAAJ&hl=en&oi=ao
Abram Hindle,https://scholar.google.com/citations?user=vuT1ZlUAAAAJ&hl=en&oi=ao
Abtin Rahimian,https://scholar.google.com/citations?user=2iXwFdsAAAAJ&hl=en&oi=ao
Abu Asaduzzaman,https://scholar.google.com/citations?user=WYv3oSEAAAAJ&hl=en&oi=ao
Abu Sayed Md. Latiful Hoque,https://scholar.google.com/citations?user=3-Sb7tMAAAAJ&hl=en&oi=ao
Abusayeed M. Saifullah,https://scholar.google.com/citations?user=CYwffSUAAAAJ&hl=en&oi=ao
Abusayeed Saifullah,https://scholar.google.com/citations?user=CYwffSUAAAAJ&hl=en&oi=ao
Abyayananda Maiti,https://scholar.google.com/citations?user=N49XT94AAAAJ&hl=en&oi=ao
Achim D. Brucker,https://scholar.google.com/citations?user=ZWePF1QAAAAJ&hl=en&oi=ao
Achim Ebert,https://scholar.google.com/citations?user=tnoNj9gAAAAJ&hl=en&oi=ao
Achim Jung,https://scholar.google.com/citations?user=hCqqihQAAAAJ&hl=en&oi=ao
Achim Lilienthal,https://scholar.google.com/citations?user=_CdZ5cgAAAAJ&hl=en&oi=ao
Achim Streit,https://scholar.google.com/citations?user=i72A44MAAAAJ&hl=en&oi=ao
Achuta Kadambi,https://scholar.google.com/citations?user=UMzWJikAAAAJ&hl=en&oi=ao
Ada Gavrilovska,https://scholar.google.com/citations?user=OlRjTCIAAAAJ&hl=en&oi=ao
Ada Lerner,https://scholar.google.com/citations?user=BkZor8wAAAAJ&hl=en&oi=ao
Ada Wai-Chee Fu,https://scholar.google.com/citations?user=tcwyqtUAAAAJ&hl=en&oi=ao
Adalbert Gerald Soosai Raj,https://scholar.google.com/citations?user=0TxoLzMAAAAJ&hl=en&oi=ao
Adalberto L. Simeone,https://scholar.google.com/citations?user=NwkRNhkAAAAJ&hl=en&oi=ao
Adalberto Lafcadio Simeone,https://scholar.google.com/citations?user=NwkRNhkAAAAJ&hl=en&oi=ao
Adam A. Porter,https://scholar.google.com/citations?user=j7F7yq0AAAAJ&hl=en&oi=ao
